Date,Open,High,Low,Close,Adj Close,Volume
2/20/2018,7209.029785,7295.950195,7206,7234.310059,7234.310059,1911170000
2/21/2018,7258.47998,7338.640137,7218.109863,7218.22998,7218.22998,1946010000
2/22/2018,7252.459961,7280.930176,7194.839844,7210.089844,7210.089844,1911900000
2/23/2018,7261.350098,7337.830078,7232.5,7337.390137,7337.390137,1879460000
2/26/2018,7373.299805,7421.850098,7360.25,7421.459961,7421.459961,1866610000
2/27/2018,7416.169922,7438.089844,7330.350098,7330.350098,7330.350098,2155850000
2/28/2018,7371.410156,7386.799805,7273.009766,7273.009766,7273.009766,2373880000
3/1/2018,7274.75,7307.850098,7117.660156,7180.560059,7180.560059,2489040000
3/2/2018,7099.540039,7267.189941,7084.830078,7257.870117,7257.870117,2287320000
3/5/2018,7222.890137,7350.069824,7205.310059,7330.709961,7330.709961,49345880000
3/6/2018,7366.609863,7378.029785,7319.680176,7372.009766,7372.009766,2112570000
3/7/2018,7311.740234,7403.790039,7311.740234,7396.649902,7396.649902,2192230000
3/8/2018,7422.77002,7435.009766,7391.5,7427.950195,7427.950195,2272110000
3/9/2018,7475.97998,7560.810059,7469.029785,7560.810059,7560.810059,2302930000
3/12/2018,7581.040039,7609.100098,7563.439941,7588.319824,7588.319824,2294440000
3/13/2018,7627.52002,7637.27002,7492.97998,7511.009766,7511.009766,2448830000
3/14/2018,7539.779785,7544.890137,7473.899902,7496.810059,7496.810059,2104450000
3/15/2018,7509.240234,7525.439941,7463.189941,7481.740234,7481.740234,1991570000
3/16/2018,7504.370117,7514.209961,7473.680176,7481.990234,7481.990234,3046990000
